ISSUE_DATE;FLIGHT_DATE_LOC;PAX_TYPE;REVENUE_AMOUNT;ORIG_CITY_CODE;DEST_CITY_CODE;ROUTE_FLIGHT_TYPE;FFP_FLAG;SALE_TYPE
07.12.2021 0:00;02.01.2022 0:00;CHD;290;SIP;MOW;ВВЛ;;ONLINE
13.12.2021 0:00;20.01.2022 0:00;AD;230;MCX;MOW;ВВЛ;;ONLINE
10.12.2021 0:00;13.01.2022 0:00;AD;200;MOW;EGO;ВВЛ;;OFFLINE
13.12.2021 0:00;16.01.2022 0:00;AD;220;SIP;MOW;ВВЛ;FFP;ONLINE
07.12.2021 0:00;08.01.2022 0:00;CHD;100;GOJ;MOW;ВВЛ;FFP;OFFLINE
07.12.2021 0:00;04.01.2022 0:00;AD;500;IKT;OVB;ВВЛ;FFP;ONLINE
14.12.2021 0:00;02.01.2022 0:00;AD;260;IKT;OVB;ВВЛ;FFP;ONLINE
13.12.2021 0:00;09.01.2022 0:00;AD;380;NJC;MOW;ВВЛ;;ONLINE
26.11.2021 0:00;18.01.2022 0:00;AD;240;MOW;KEJ;ВВЛ;FFP;ONLINE
02.12.2021 0:00;01.01.2022 0:00;AD;300;MOW;CEK;ВВЛ;;ONLINE
13.12.2021 0:00;03.01.2022 0:00;CHD;370;MOW;GDZ;ВВЛ;;ONLINE
01.12.2021 0:00;01.01.2022 0:00;AD;300;LED;MOW;ВВЛ;FFP;ONLINE
28.12.2021 0:00;02.01.2022 0:00;AD;550;OVB;TLK;ВВЛ;;OFFLINE
06.12.2021 0:00;03.01.2022 0:00;CHD;760;MOW;DXB;МВЛ;;OFFLINE
30.11.2021 0:00;16.01.2022 0:00;CHD;250;IKT;MOW;ВВЛ;;ONLINE
30.11.2021 0:00;04.01.2022 0:00;CHD;200;KUF;MOW;ВВЛ;;ONLINE
13.12.2021 0:00;14.01.2022 0:00;CHD;300;MQF;MOW;ВВЛ;;ONLINE
13.12.2021 0:00;12.01.2022 0:00;AD;230;SVX;MOW;ВВЛ;;ONLINE
08.12.2021 0:00;04.01.2022 0:00;AD;230;AAQ;MOW;ВВЛ;FFP;ONLINE
14.12.2021 0:00;14.01.2022 0:00;AD;380;MOW;VIE;МВЛ;FFP;ONLINE
14.01.2022 0:00;18.01.2022 0:00;AD;520;MOW;IKT;ВВЛ;;OFFLINE
03.12.2021 0:00;12.01.2022 0:00;AD;480;MOW;NJC;ВВЛ;;OFFLINE
08.12.2021 0:00;06.01.2022 0:00;AD;240;LED;MOW;ВВЛ;;ONLINE
01.12.2021 0:00;12.01.2022 0:00;AD;320;KGD;MOW;ВВЛ;;OFFLINE
30.12.2021 0:00;16.01.2022 0:00;AD;420;SSH;MOW;МВЛ;;OFFLINE
30.11.2021 0:00;03.01.2022 0:00;CHD;370;KRR;OVB;ВВЛ;;OFFLINE
01.12.2021 0:00;01.01.2022 0:00;AD;370;MOW;BAX;ВВЛ;FFP;ONLINE
30.11.2021 0:00;08.01.2022 0:00;AD;300;MOW;PEZ;ВВЛ;;ONLINE
01.12.2021 0:00;05.01.2022 0:00;AD;400;YKS;OVB;ВВЛ;FFP;ONLINE
04.12.2021 0:00;11.01.2022 0:00;AD;440;MOW;KEJ;ВВЛ;;OFFLINE
14.12.2021 0:00;23.01.2022 0:00;AD;250;MOW;OVB;ВВЛ;FFP;ONLINE
14.12.2021 0:00;13.01.2022 0:00;AD;410;BQS;MOW;ВВЛ;;ONLINE
14.12.2021 0:00;12.01.2022 0:00;AD;140;MOW;AAQ;ВВЛ;FFP;ONLINE
14.12.2021 0:00;02.01.2022 0:00;AD;500;OVB;HTA;ВВЛ;FFP;ONLINE
24.12.2021 0:00;02.01.2022 0:00;AD;2000;IKT;MOW;ВВЛ;;OFFLINE
01.12.2021 0:00;06.01.2022 0:00;AD;380;OVB;VOG;ВВЛ;FFP;ONLINE
14.12.2021 0:00;08.01.2022 0:00;CHD;290;IKT;AER;ВВЛ;;ONLINE
08.12.2021 0:00;05.01.2022 0:00;CHD;460;TAS;OVB;МВЛ;;OFFLINE
04.12.2021 0:00;01.01.2022 0:00;AD;120;LED;MOW;ВВЛ;;ONLINE
14.12.2021 0:00;16.01.2022 0:00;AD;360;YKS;OVB;ВВЛ;FFP;ONLINE
27.11.2021 0:00;06.01.2022 0:00;AD;490;AER;MOW;ВВЛ;FFP;OFFLINE
14.12.2021 0:00;08.01.2022 0:00;CHD;190;IWA;AER;ВВЛ;;ONLINE
03.12.2021 0:00;08.01.2022 0:00;CHD;220;MOW;STW;ВВЛ;;OFFLINE
20.01.2022 0:00;21.01.2022 0:00;AD;810;OVB;GDX;ВВЛ;;OFFLINE
08.12.2021 0:00;31.01.2022 0:00;AD;330;AER;OVB;ВВЛ;FFP;ONLINE
08.12.2021 0:00;22.01.2022 0:00;AD;130;MOW;LED;ВВЛ;;ONLINE
04.12.2021 0:00;07.01.2022 0:00;INF;0;MOW;AER;ВВЛ;;ONLINE
08.12.2021 0:00;06.01.2022 0:00;AD;230;MOW;GDZ;ВВЛ;;ONLINE
03.12.2021 0:00;03.01.2022 0:00;AD;340;PEE;MOW;ВВЛ;FFP;ONLINE
08.12.2021 0:00;01.01.2022 0:00;AD;500;MOW;AER;ВВЛ;FFP;ONLINE
03.12.2021 0:00;01.01.2022 0:00;AD;220;MOW;KUF;ВВЛ;FFP;ONLINE
05.12.2021 0:00;18.01.2022 0:00;AD;340;OVB;SVX;ВВЛ;FFP;ONLINE
26.11.2021 0:00;08.01.2022 0:00;AD;250;MOW;PEE;ВВЛ;FFP;ONLINE
02.01.2022 0:00;04.01.2022 0:00;AD;550;OVB;HTA;ВВЛ;;OFFLINE
14.12.2021 0:00;15.01.2022 0:00;AD;310;OVB;VVO;ВВЛ;FFP;OFFLINE
04.12.2021 0:00;03.01.2022 0:00;CHD;170;MOW;LED;ВВЛ;;ONLINE
13.12.2021 0:00;10.01.2022 0:00;AD;560;OVB;UUS;ВВЛ;FFP;OFFLINE
08.12.2021 0:00;08.01.2022 0:00;AD;300;KZN;MOW;ВВЛ;;ONLINE
09.12.2021 0:00;15.01.2022 0:00;AD;550;VVO;OVB;ВВЛ;FFP;ONLINE
14.12.2021 0:00;07.01.2022 0:00;AD;420;MOW;AYT;МВЛ;FFP;ONLINE
04.12.2021 0:00;10.01.2022 0:00;AD;280;MOW;SIP;ВВЛ;;OFFLINE
